Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
August 31 2022,Spartanburg,SC,Passenger,0,1,1,36,37,2.70
December 31 2019,Adams,WA,Truck,0,0,0,5196,5196,0.00
March 31 2020,Chatham,NC,Passenger,1,0,1,6,7,14.29
February 28 2023,Howard,MD,Passenger,0,2,2,64,66,3.03
August 31 2024,Northampton,PA,Passenger,1,0,1,14,15,6.67
November 30 2023,Columbia,WA,Passenger,12,0,12,2414,2426,0.49
September 30 2020,Thurston,WA,Passenger,1209,749,1958,196960,198918,0.98
October 31 2021,Whitman,WA,Passenger,63,58,121,21874,21995,0.55
January 31 2021,Lake,IL,Passenger,2,0,2,172,174,1.15
June 30 2022,Columbia,OR,Passenger,1,0,1,19,20,5.00
December 31 2023,District of Columbia,DC,Passenger,2,0,2,143,145,1.38
September 30 2024,Orange,FL,Passenger,3,0,3,31,34,8.82
November 30 2023,Grays Harbor,WA,Passenger,360,224,584,48074,48658,1.20
December 31 2017,Adams,WA,Passenger,4,5,9,12401,12410,0.07
October 31 2017,Frederick,MD,Passenger,0,1,1,84,85,1.18
December 31 2019,Suffolk,VA,Passenger,1,0,1,127,128,0.78
August 31 2019,Pinellas,FL,Passenger,1,1,2,130,132,1.52
January 31 2022,Newport,RI,Passenger,0,1,1,76,77,1.30
March 31 2024,San Benito,CA,Passenger,1,0,1,5,6,16.67
March 31 2020,Queens,NY,Passenger,1,0,1,54,55,1.82
May 31 2019,Frederick,MD,Passenger,1,1,2,77,79,2.53
May 31 2020,Klickitat,WA,Passenger,53,39,92,15268,15360,0.60
June 30 2019,Dakota,MN,Passenger,0,1,1,38,39,2.56
April 30 2018,Cook,IL,Passenger,1,0,1,275,276,0.36
November 30 2024,Brevard,FL,Passenger,1,0,1,48,49,2.04
July 31 2020,Clackamas,OR,Passenger,2,0,2,206,208,0.96
March 31 2017,Thurston,WA,Passenger,364,313,677,185339,186016,0.36
June 30 2022,Skamania,WA,Truck,0,0,0,3962,3962,0.00
November 30 2023,Hoke,NC,Passenger,1,0,1,67,68,1.47
May 31 2021,Whitman,WA,Passenger,60,44,104,21973,22077,0.47
